"Wavelength, µm","n","k"
1.28246,1.47459,0.000009021
1.28254,1.47459,0.000009061
1.28262,1.47459,0.000009165
1.2827,1.47459,0.000009245
1.28278,1.47459,0.000009196
1.28286,1.47459,0.000009053
1.28294,1.47459,0.000008998
1.28302,1.47459,0.000009158
1.2831,1.47459,0.000009463
1.28318,1.47459,0.000009693
1.28326,1.47459,0.000009702
1.28334,1.47459,0.000009531
1.28342,1.47459,0.000009319
1.2835,1.47459,0.000009168
1.28358,1.47459,0.000009104
1.28365,1.47459,0.000009123
1.28373,1.47459,0.000009212
1.28381,1.47459,0.000009325
1.28389,1.47459,0.000009395
1.28397,1.47459,0.000009386
1.28405,1.47459,0.000009319
1.28413,1.47459,0.000009236
1.28421,1.47459,0.000009175
1.28429,1.47459,0.000009156
1.28437,1.47459,0.000009202
1.28445,1.47459,0.000009285
1.28453,1.47459,0.000009338
1.28461,1.47459,0.000009321
1.28469,1.47459,0.000009287
1.28477,1.47459,0.000009332
1.28485,1.47459,0.00000945
1.28493,1.47459,0.000009493
1.28501,1.47459,0.000009332
1.28509,1.47459,0.000009024
1.28517,1.47459,0.000008793
1.28525,1.47459,0.000008811
1.28532,1.47459,0.000009046
1.2854,1.47459,0.000009341
1.28548,1.47459,0.00000957
1.28556,1.47459,0.000009687
1.28564,1.47459,0.000009654
1.28572,1.4746,0.00000943
1.2858,1.4746,0.000009074
1.28588,1.47459,0.000008792
1.28596,1.47459,0.00000878
1.28604,1.47459,0.000009036
1.28612,1.47459,0.000009363
1.2862,1.47459,0.000009564
1.28628,1.47459,0.000009615
1.28636,1.47459,0.000009606
1.28644,1.47459,0.000009589
1.28652,1.4746,0.00000953
1.2866,1.4746,0.000009414
1.28668,1.47459,0.000009324
1.28676,1.47459,0.000009357
1.28684,1.47459,0.00000951
1.28692,1.47459,0.000009682
1.287,1.4746,0.00000976
1.28708,1.4746,0.000009714
1.28716,1.4746,0.000009582
1.28724,1.4746,0.000009436
1.28732,1.4746,0.000009333
1.2874,1.4746,0.000009299
1.28748,1.4746,0.000009294
1.28756,1.4746,0.000009244
1.28764,1.4746,0.000009139
1.28772,1.4746,0.00000906
1.2878,1.47459,0.000009113
1.28788,1.47459,0.000009283
1.28796,1.47459,0.000009454
1.28804,1.47459,0.000009535
1.28812,1.47459,0.000009559
1.2882,1.47459,0.000009625
1.28828,1.4746,0.000009725
1.28836,1.4746,0.000009761
1.28844,1.4746,0.000009681
1.28852,1.4746,0.00000958
1.2886,1.4746,0.000009589
1.28868,1.4746,0.000009698
1.28876,1.4746,0.000009755
1.28884,1.4746,0.000009646
1.28892,1.4746,0.000009446
1.289,1.4746,0.000009342
1.28908,1.4746,0.000009426
1.28916,1.4746,0.000009614
1.28924,1.4746,0.000009744
1.28932,1.4746,0.000009736
1.2894,1.4746,0.000009633
1.28948,1.4746,0.000009533
1.28956,1.4746,0.00000949
1.28964,1.4746,0.000009494
1.28972,1.4746,0.000009502
1.2898,1.4746,0.000009464
1.28988,1.4746,0.00000936
1.28996,1.4746,0.000009227
1.29004,1.4746,0.000009128
1.29012,1.4746,0.000009102
1.2902,1.4746,0.000009123
1.29028,1.4746,0.00000913
1.29036,1.4746,0.000009095
1.29044,1.4746,0.000009048
1.29052,1.4746,0.000009051
1.2906,1.4746,0.00000913
1.29068,1.4746,0.000009258
1.29076,1.4746,0.000009372
1.29084,1.4746,0.000009421
1.29092,1.4746,0.000009389
1.29101,1.4746,0.000009313
1.29109,1.4746,0.000009228
1.29117,1.4746,0.000009143
1.29125,1.4746,0.000009034
1.29133,1.4746,0.000008874
1.29141,1.4746,0.000008693
1.29149,1.4746,0.000008544
1.29157,1.4746,0.000008446
1.29165,1.4746,0.000008355
1.29173,1.4746,0.000008205
1.29181,1.4746,0.000008003
1.29189,1.4746,0.00000784
1.29197,1.47459,0.000007804
1.29205,1.47459,0.000007917
1.29213,1.47459,0.000008122
1.29221,1.47459,0.000008349
1.29229,1.47459,0.000008557
1.29237,1.47459,0.000008728
1.29245,1.47459,0.000008852
1.29253,1.47459,0.000008919
